区站号,年,月,日,20-20时降水量,大型蒸发量,极大风速,极大风速的风向,平均本站气压,平均风速,平均气温,平均水汽压,平均相对湿度,日照时数,日最低本站气压,日最低气温,日最高本站气压,日最高气温,小型蒸发量,最大风速,最大风速的风向,最小相对湿度
54511,2010,1,1,0,32766,62,3,10125,16,-50,15,36,34,10095,-102,10166,-16,12,34,3,23
54511,2010,1,2,4,32766,57,4,10205,21,-45,35,79,0,10129,-63,10236,-21,2,34,4,27
54511,2010,1,3,99,32766,110,5,10186,27,-81,29,86,0,10151,-99,10237,-44,0,57,5,72
54511,2010,1,4,1,32766,179,16,10244,50,-103,11,39,82,10182,-134,10288,-85,13,77,16,29
54511,2010,1,5,0,32766,134,2,10288,23,-125,10,41,80,10267,-156,10310,-75,10,60,1,28
54511,2010,1,6,0,32766,61,2,10295,15,-112,11,41,78,10284,-167,10311,-59,7,33,3,25
54511,2010,1,7,0,32766,51,3,10297,13,-97,12,41,72,10278,-135,10322,-44,8,27,2,25
54511,2010,1,8,0,32766,42,10,10237,9,-98,17,60,0,10208,-121,10284,-74,4,22,9,42
54511,2010,1,9,0,32766,72,3,10244,16,-74,20,57,72,10219,-134,10276,-28,7,43,1,33
54511,2010,1,10,0,32766,51,4,10280,19,-70,20,58,42,10258,-110,10294,-28,6,33,3,39
54511,2010,1,11,0,32766,117,15,10298,28,-58,11,28,58,10279,-100,10320,-24,20,58,1,19
54511,2010,1,12,0,32766,193,16,10262,48,-92,9,28,83,10242,-105,10286,-52,17,79,14,20
54511,2010,1,13,0,32766,97,15,10265,22,-99,11,36,85,10234,-137,10294,-54,12,59,15,27
54511,2010,1,14,0,32766,88,2,10206,16,-74,16,46,72,10172,-132,10249,1,11,42,3,28
54511,2010,1,15,0,32766,74,3,10323,19,-55,17,40,82,10250,-92,10355,-5,15,45,1,26
54511,2010,1,16,0,32766,40,3,10287,9,-68,23,63,48,10258,-107,10327,-23,6,24,4,47
54511,2010,1,17,0,32766,45,5,10245,10,-56,26,67,64,10220,-95,10279,3,5,23,3,41
54511,2010,1,18,0,32766,35,5,10225,6,-32,31,65,46,10205,-91,10246,32,5,21,4,41
54511,2010,1,19,0,32766,38,3,10168,11,12,45,67,0,10138,0,10216,25,5,20,3,55
54511,2010,1,20,0,32766,168,1,10248,48,-1,28,45,0,10159,-24,10320,55,31,78,1,26
54511,2010,1,21,0,32766,160,16,10319,30,-48,10,24,71,10291,-84,10347,-12,24,66,16,15
54511,2010,1,22,0,32766,179,15,10302,43,-28,12,24,86,10277,-61,10332,-3,28,81,15,20
54511,2010,1,23,0,32766,117,15,10239,15,-12,15,28,86,10198,-57,10287,46,22,61,14,14
54511,2010,1,24,0,32766,174,14,10172,22,-22,18,40,77,10128,-77,10238,66,23,95,14,13
54511,2010,1,25,0,32766,144,15,10284,22,-28,10,19,87,10238,-65,10319,17,29,71,16,12
54511,2010,1,26,0,32766,47,7,10206,8,-39,17,38,77,10160,-91,10270,20,11,26,11,20
54511,2010,1,27,0,32766,134,14,10117,12,19,27,40,77,10083,-28,10161,88,21,64,15,18
54511,2010,1,28,0,32766,148,15,10217,45,4,15,24,72,10147,-18,10242,49,38,83,14,13
54511,2010,1,29,0,32766,91,8,10188,27,10,16,28,89,10157,-55,10237,69,24,52,14,11
54511,2010,1,30,0,32766,77,16,10152,10,25,16,25,86,10131,-24,10167,83,25,47,1,11
54511,2010,1,31,0,32766,99,1,10198,20,16,18,28,93,10152,-32,10217,68,27,56,1,14
54511,2010,2,1,0,32766,106,8,10226,21,-26,30,61,40,10209,-42,10238,12,17,48,8,27
54511,2010,2,2,0,32766,66,4,10238,19,-35,24,55,59,10225,-86,10251,8,14,35,3,22
54511,2010,2,3,0,32766,52,11,10242,15,-42,19,44,83,10218,-90,10259,15,9,28,9,23
54511,2010,2,4,0,32766,62,3,10225,9,-31,17,38,83,10197,-68,10242,23,14,33,2,19
54511,2010,2,5,0,32766,64,4,10253,26,-31,22,46,33,10219,-63,10275,-2,13,38,4,22
54511,2010,2,6,3,32766,66,7,10266,18,-45,29,68,0,10231,-68,10295,-16,6,34,7,44
54511,2010,2,7,18,32766,55,6,10185,13,-33,38,80,0,10157,-61,10245,-15,2,26,8,69
54511,2010,2,8,0,32766,46,12,10147,15,-3,42,71,56,10127,-48,10177,52,9,26,8,44
54511,2010,2,9,0,32766,59,4,10194,12,13,38,59,26,10155,-17,10214,45,13,31,8,25
54511,2010,2,10,0,32766,135,3,10263,33,-9,10,18,53,10214,-31,10286,15,37,66,3,13
54511,2010,2,11,0,32766,124,2,10311,37,-28,9,19,14,10279,-45,10327,-10,31,61,1,15
54511,2010,2,12,0,32766,86,1,10306,23,-39,10,23,83,10269,-78,10337,7,22,44,3,12
54511,2010,2,13,0,32766,65,4,10246,12,-38,15,34,85,10219,-95,10277,35,14,31,3,16
54511,2010,2,14,0,32766,146,1,10279,37,-37,12,27,15,10229,-55,10305,-5,27,73,1,13
54511,2010,2,15,0,32766,85,15,10308,22,-38,10,23,99,10278,-92,10335,19,21,41,1,10
54511,2010,2,16,0,32766,79,10,10261,19,-45,19,43,73,10221,-94,10302,23,18,44,11,19
54511,2010,2,17,0,32766,163,15,10220,40,-17,14,28,97,10197,-53,10247,16,27,80,15,12
54511,2010,2,18,0,32766,88,9,10198,17,-16,13,24,61,10168,-85,10230,51,22,48,10,13
54511,2010,2,19,0,32766,70,11,10128,12,5,18,32,98,10097,-68,10177,107,24,33,10,12
54511,2010,2,20,0,32766,51,4,10085,16,17,29,42,72,10055,-39,10113,96,18,27,4,26
