Date,Year,Month,Mdate,Weekday_End,Day,Hour,Town_Hall-West,Collins Place-South,Australia on Collins,Bourke Street Mall-South,Bourke Street Mall-North,Melbourne Central,Flagstaff Station,State Library
9/1/2012,2012,9,1,20,7,0,758,169,90,227,200,885,36,252
9/1/2012,2012,9,1,20,7,1,428,37,61,143,104,523,26,182
9/1/2012,2012,9,1,20,7,2,273,32,34,82,80,263,9,92
9/1/2012,2012,9,1,20,7,3,231,11,60,62,60,263,8,91
9/1/2012,2012,9,1,20,7,4,116,6,23,28,30,58,10,39
9/1/2012,2012,9,1,20,7,5,85,29,29,28,14,74,13,28
9/1/2012,2012,9,1,20,7,6,81,37,26,40,25,66,15,33
9/1/2012,2012,9,1,20,7,7,166,86,80,54,51,194,26,54
9/1/2012,2012,9,1,20,7,8,423,121,249,269,286,389,47,185
9/1/2012,2012,9,1,20,7,9,888,177,580,743,624,523,64,356
9/1/2012,2012,9,1,20,7,10,1610,239,1029,1458,1312,933,67,628
9/1/2012,2012,9,1,20,7,11,2084,270,1416,2160,2008,1544,96,968
9/1/2012,2012,9,1,20,7,12,2780,443,1546,2914,2436,2239,86,1456
9/1/2012,2012,9,1,20,7,13,3106,412,1631,3294,2940,2789,109,2004
9/1/2012,2012,9,1,20,7,14,3139,425,1533,3541,3378,2809,78,2345
9/1/2012,2012,9,1,20,7,15,3225,514,1502,3582,3523,3113,73,2294
9/1/2012,2012,9,1,20,7,16,3105,421,1446,3208,3300,2644,75,2056
9/1/2012,2012,9,1,20,7,17,2920,566,942,2477,2460,2687,73,1913
9/1/2012,2012,9,1,20,7,18,2505,588,491,1045,1625,2797,39,1498
9/1/2012,2012,9,1,20,7,19,2301,474,387,563,855,2505,54,1262
9/1/2012,2012,9,1,20,7,20,1779,279,227,419,521,2198,38,1048
9/1/2012,2012,9,1,20,7,21,1263,182,190,345,391,2034,35,934
9/1/2012,2012,9,1,20,7,22,1421,308,292,372,393,1719,45,728
9/1/2012,2012,9,1,20,7,23,1723,254,288,304,313,1535,29,674
9/2/2012,2012,9,2,20,1,0,832,136,153,210,220,857,34,242
9/2/2012,2012,9,2,20,1,1,469,73,102,197,119,453,29,278
9/2/2012,2012,9,2,20,1,2,336,44,84,170,124,303,13,117
9/2/2012,2012,9,2,20,1,3,319,26,51,132,98,264,10,75
9/2/2012,2012,9,2,20,1,4,161,27,42,61,27,40,5,35
9/2/2012,2012,9,2,20,1,5,95,21,24,35,24,63,7,48
9/2/2012,2012,9,2,20,1,6,76,10,23,47,36,71,6,29
9/2/2012,2012,9,2,20,1,7,140,53,57,59,39,108,18,40
9/2/2012,2012,9,2,20,1,8,251,97,164,162,98,235,14,145
9/2/2012,2012,9,2,20,1,9,708,155,414,501,467,535,23,268
9/2/2012,2012,9,2,20,1,10,1276,260,755,1227,811,956,66,511
9/2/2012,2012,9,2,20,1,11,1710,316,998,1915,1591,1508,54,891
9/2/2012,2012,9,2,20,1,12,2017,346,1098,2083,2057,2044,81,1273
9/2/2012,2012,9,2,20,1,13,2554,282,1192,2684,2514,2386,83,1599
9/2/2012,2012,9,2,20,1,14,2691,297,1129,2623,2699,2394,70,1657
9/2/2012,2012,9,2,20,1,15,2812,264,1068,2581,2626,2649,58,1817
9/2/2012,2012,9,2,20,1,16,2700,230,840,2315,2339,2487,62,1649
9/2/2012,2012,9,2,20,1,17,1982,227,463,1595,1675,2252,46,1577
9/2/2012,2012,9,2,20,1,18,1510,231,236,667,1019,2050,30,1068
9/2/2012,2012,9,2,20,1,19,1069,105,164,317,444,1724,21,864
9/2/2012,2012,9,2,20,1,20,818,85,147,322,271,1239,16,623
9/2/2012,2012,9,2,20,1,21,551,60,88,163,171,953,23,450
9/2/2012,2012,9,2,20,1,22,419,47,59,110,129,660,20,246
9/2/2012,2012,9,2,20,1,23,218,28,50,55,76,272,13,161
9/3/2012,2012,9,3,10,2,0,111,21,31,24,54,121,10,80
9/3/2012,2012,9,3,10,2,1,52,10,22,18,20,62,2,38
9/3/2012,2012,9,3,10,2,2,28,4,8,5,14,53,7,17
9/3/2012,2012,9,3,10,2,3,16,6,6,21,8,32,10,6
9/3/2012,2012,9,3,10,2,4,40,11,9,10,9,21,1,8
9/3/2012,2012,9,3,10,2,5,56,49,26,12,26,58,74,24
9/3/2012,2012,9,3,10,2,6,150,163,76,78,59,90,452,51
9/3/2012,2012,9,3,10,2,7,450,672,337,245,245,334,1926,271
9/3/2012,2012,9,3,10,2,8,1169,1926,843,712,703,931,5269,887
9/3/2012,2012,9,3,10,2,9,1236,1152,913,889,826,932,2473,748
9/3/2012,2012,9,3,10,2,10,1605,576,1135,1228,1123,1291,956,819
9/3/2012,2012,9,3,10,2,11,2121,599,1468,1946,1658,1649,748,1166
9/3/2012,2012,9,3,10,2,12,3030,1544,2412,3287,2841,2641,1164,2052
9/3/2012,2012,9,3,10,2,13,3520,1932,2612,3703,3302,2847,1627,2329
9/3/2012,2012,9,3,10,2,14,2799,829,1596,2442,2507,2344,946,1807
9/3/2012,2012,9,3,10,2,15,2679,669,1334,2180,2142,2164,1173,1817
9/3/2012,2012,9,3,10,2,16,2716,747,1158,1898,1966,2358,2083,1992
9/3/2012,2012,9,3,10,2,17,2729,1233,1117,1856,2237,2597,3842,2227
9/3/2012,2012,9,3,10,2,18,1925,793,556,919,1471,2262,1650,1622
9/3/2012,2012,9,3,10,2,19,1239,474,276,431,576,1753,494,1201
9/3/2012,2012,9,3,10,2,20,934,349,165,277,376,1440,206,874
9/3/2012,2012,9,3,10,2,21,756,178,175,192,241,1185,107,575
9/3/2012,2012,9,3,10,2,22,473,99,76,143,160,709,71,315
9/3/2012,2012,9,3,10,2,23,287,59,58,69,94,414,23,175
9/4/2012,2012,9,4,10,3,0,129,45,19,47,41,181,11,66
